Year,Country/area,Sector,Technology,Sub Technology,Number of Patents
2000,China,Transport,Enabling Technologies,Electromobility - Information/Communication Technologies,12
2000,China,Transport,Enabling Technologies,Electromobility - Machine related technology ,38
2000,China,Transport,Enabling Technologies,Energy Efficiency,26
2000,China,Transport,Enabling Technologies,Smart Grids,4
2000,China,Transport,Enabling Technologies,Hydrogen (storage and distribution and applications),17
2000,China,Waste,Solar Energy,PV - Thermal Hybrid,29
2000,China,Waste,Wind Energy,Wind Energy,2
2000,Colombia,Building,Enabling Technologies,Smart Grids,2
2000,Colombia,Industry,Enabling Technologies,Hydrogen (storage and distribution and applications),1
2000,Colombia,Power,Bioenergy,Biofuels,2
2000,Colombia,Power,Bioenergy,Fuel from waste,2
2000,Colombia,Power,Enabling Technologies,Batteries,1
2000,Colombia,Power,Enabling Technologies,Fuel Cells,1
2000,Colombia,Power,Enabling Technologies,Hydrogen (storage and distribution and applications),1
2000,Colombia,Power,Hydropower,Hydropower,1
2000,Colombia,Transport,Enabling Technologies,Energy Efficiency,1
2000,Croatia,Building,Solar Energy,PV,1
2000,Croatia,Power,Bioenergy,Biofuels,2
2000,Croatia,Power,Hydropower,Hydropower,2
2000,Croatia,Power,Solar Energy,PV,1
2000,Croatia,Power,Solar Energy,Solar Thermal,3
2000,Croatia,Power,Wind Energy,Wind Energy,3
2000,Croatia,Transport,Enabling Technologies,Energy Efficiency,1
2000,Cuba,Building,Solar Energy,Solar Thermal,1
2000,Cuba,Industry,Enabling Technologies,Hydrogen (storage and distribution and applications),1
2000,Cuba,Power,Solar Energy,PV,1
2000,Cuba,Power,Solar Energy,Solar Thermal,8
2000,Cuba,Power,Wind Energy,Wind Energy,1
2000,Czechia,Building,Enabling Technologies,Smart Grids,5
2000,Czechia,Building,Geothermal Energy,Heat pumps,1
2000,Czechia,Building,Solar Energy,PV,1
2000,Czechia,Building,Solar Energy,PV - Thermal Hybrid,1
2000,Czechia,Building,Solar Energy,Solar Thermal,2
2000,Czechia,CCUS,Enabling Technologies,CCUS,3
2000,Czechia,Industry,Bioenergy,Fuel from waste,1
2000,Czechia,Industry,Enabling Technologies,Hydrogen (storage and distribution and applications),6
2000,Czechia,Power,Bioenergy,Biofuels,9
2000,Czechia,Power,Bioenergy,Fuel from waste,4
2000,Czechia,Power,Enabling Technologies,Batteries,12
2000,Czechia,Power,Enabling Technologies,Fuel Cells,9
2000,Czechia,Power,Enabling Technologies,Thermal energy storage,1
2000,Czechia,Power,Enabling Technologies,"Ultracapacitors, supercapacitors, double-layer capacitors",1
2000,Czechia,Power,Hydropower,Hydropower,9
2000,Czechia,Power,Solar Energy,PV,2
2000,Czechia,Power,Solar Energy,Solar Thermal,7
2000,Czechia,Power,Wind Energy,Wind Energy,2
2000,Czechia,Transport,Bioenergy,Biofuels,1
2000,Czechia,Transport,Enabling Technologies,Electromobility - Charging Stations,2
2000,Czechia,Transport,Enabling Technologies,Electromobility - Electric Energy Management,7
2000,Czechia,Transport,Enabling Technologies,Electromobility - Energy Storage,2
2000,Czechia,Transport,Enabling Technologies,Electromobility - Machine related technology ,6
2000,Czechia,Transport,Enabling Technologies,Energy Efficiency,7
2000,Czechia,Transport,Enabling Technologies,Hydrogen (storage and distribution and applications),1
2000,Czechia,Waste,Solar Energy,PV - Thermal Hybrid,1
2000,Denmark,Building,Enabling Technologies,Energy Efficiency,1
2000,Denmark,Building,Enabling Technologies,Smart Grids,5
2000,Denmark,Building,Hydropower,Hydropower,1
2000,Denmark,Building,Solar Energy,PV,3
2000,Denmark,Building,Solar Energy,PV - Thermal Hybrid,1
2000,Denmark,Building,Solar Energy,Solar Thermal,6
2000,Denmark,Building,Wind Energy,Wind Energy,4
2000,Denmark,CCUS,Enabling Technologies,CCUS,4
2000,Denmark,Industry,Bioenergy,Fuel from waste,3
2000,Denmark,Industry,Enabling Technologies,Cross-cutting,1
2000,Denmark,Industry,Enabling Technologies,Energy Efficiency,1
2000,Denmark,Power,Bioenergy,Biofuels,16
2000,Denmark,Power,Bioenergy,Fuel from waste,9
2000,Denmark,Power,Enabling Technologies,Batteries,26
2000,Denmark,Power,Enabling Technologies,Energy Storage - General,1
2000,Denmark,Power,Enabling Technologies,Fuel Cells,30
2000,Denmark,Power,Enabling Technologies,Thermal energy storage,5
2000,Denmark,Power,Enabling Technologies,"Ultracapacitors, supercapacitors, double-layer capacitors",2
2000,Denmark,Power,Enabling Technologies,Hydrogen (storage and distribution and applications),3
2000,Denmark,Power,Enabling Technologies,Green hydrogen (water eloctrolysis),1
2000,Denmark,Power,Enabling Technologies,"Mechanical energy storage, e.g. flywheels or pressurised fluids",1
2000,Denmark,Power,Geothermal Energy,Geothermal Energy,4
2000,Denmark,Power,Hydropower,Hydropower,8
2000,Denmark,Power,Ocean Energy,Ocean Energy,6
2000,Denmark,Power,Solar Energy,PV,8
2000,Denmark,Power,Solar Energy,PV - Thermal Hybrid,1
2000,Denmark,Power,Solar Energy,Solar Thermal,10
2000,Denmark,Power,Wind Energy,Wind Energy,65
2000,Denmark,Transport,Bioenergy,Biofuels,3
2000,Denmark,Transport,Enabling Technologies,Electromobility - Charging Stations,2
2000,Denmark,Transport,Enabling Technologies,Electromobility - Electric Energy Management,6
2000,Denmark,Transport,Enabling Technologies,Electromobility - Energy Storage,4
2000,Denmark,Transport,Enabling Technologies,Electromobility - Information/Communication Technologies,1
2000,Denmark,Transport,Enabling Technologies,Electromobility - Machine related technology ,4
2000,Denmark,Transport,Enabling Technologies,Energy Efficiency,6
2000,Denmark,Transport,Enabling Technologies,Hydrogen (storage and distribution and applications),1
2000,Denmark,Waste,Solar Energy,PV - Thermal Hybrid,2
2000,Ecuador,Power,Hydropower,Hydropower,1
2000,Egypt,Building,Enabling Technologies,Smart Grids,1
2000,Egypt,CCUS,Enabling Technologies,CCUS,1
2000,Egypt,Industry,Enabling Technologies,Energy Storage - General,1
2000,Egypt,Power,Bioenergy,Biofuels,1
2000,Egypt,Power,Bioenergy,Fuel from waste,2
2000,Egypt,Power,Enabling Technologies,Hydrogen (storage and distribution and applications),1
2000,Egypt,Power,Solar Energy,Solar Thermal,2
2000,Egypt,Power,Wind Energy,Wind Energy,1
2000,Egypt,Transport,Enabling Technologies,Energy Efficiency,1
2000,Estonia,Power,Bioenergy,Biofuels,2
2000,Estonia,Transport,Bioenergy,Biofuels,1
2000,Estonia,Transport,Enabling Technologies,Electromobility - Machine related technology ,1
2000,Finland,Building,Enabling Technologies,Energy Efficiency,1
2000,Finland,Building,Enabling Technologies,Smart Grids,1
2000,Finland,Building,Solar Energy,PV - Thermal Hybrid,1
2000,Finland,Building,Wind Energy,Wind Energy,1
2000,Finland,CCUS,Enabling Technologies,CCUS,1
2000,Finland,Power,Bioenergy,Biofuels,2
2000,Finland,Power,Bioenergy,Fuel from waste,2
2000,Finland,Power,Enabling Technologies,Batteries,1
2000,Finland,Power,Enabling Technologies,Fuel Cells,1
2000,Finland,Power,Enabling Technologies,"Mechanical energy storage, e.g. flywheels or pressurised fluids",1
2000,Finland,Power,Hydropower,Hydropower,1
2000,Finland,Power,Solar Energy,Solar Thermal,3
2000,Finland,Power,Wind Energy,Wind Energy,2
2000,Finland,Transport,Enabling Technologies,Electromobility - Charging Stations,1
2000,Finland,Transport,Enabling Technologies,Electromobility - Energy Storage,2
2000,France,Building,Enabling Technologies,Energy Efficiency,8
2000,France,Building,Enabling Technologies,Smart Grids,32
2000,France,Building,Geothermal Energy,Heat pumps,2
2000,France,Building,Solar Energy,PV - Thermal Hybrid,3
2000,France,Building,Solar Energy,Solar Thermal,9
2000,France,Building,Wind Energy,Wind Energy,1
2000,France,CCUS,Enabling Technologies,CCUS,10
2000,France,Power,Bioenergy,Biofuels,7
2000,France,Power,Bioenergy,Fuel from waste,9
2000,France,Power,Enabling Technologies,Batteries,49
2000,France,Power,Enabling Technologies,Fuel Cells,33
2000,France,Power,Enabling Technologies,Thermal energy storage,6
